geoid,boundaryYear,window,religion,closed,per10k,nOpen
50,2010,2007_2024,all_religions,484,2.3703,9298.0
51,2010,2007_2024,all_religions,10233,2.4524,281236.0
53,2010,2007_2024,all_religions,4750,2.356,104353.0
54,2010,2007_2024,all_religions,3449,3.4063,101921.0
55,2010,2007_2024,all_religions,5416,2.6335,104347.0
56,2010,2007_2024,all_religions,604,2.3324,17956.0
01,2010,2010_2015,all_religions,1691,0.731,137528.0
02,2010,2010_2015,all_religions,114,0.5427,15216.0
04,2010,2010_2015,all_religions,567,0.5318,33159.0
05,2010,2010_2015,all_religions,1005,0.7598,82739.0
06,2010,2010_2015,all_religions,3434,0.5211,191944.0
08,2010,2010_2015,all_religions,475,0.4827,33573.0
09,2010,2010_2015,all_religions,476,0.5894,32535.0
10,2010,2010_2015,all_religions,298,0.7216,20909.0
11,2010,2010_2015,all_religions,168,0.7075,14040.0
12,2010,2010_2015,all_religions,2479,0.4505,208171.0
13,2010,2010_2015,all_religions,2131,0.5031,197710.0
15,2010,2010_2015,all_religions,165,0.5779,10821.0
16,2010,2010_2015,all_religions,226,0.4621,17849.0
17,2010,2010_2015,all_religions,2060,0.7103,106623.0
18,2010,2010_2015,all_religions,1501,0.7592,71735.0
19,2010,2010_2015,all_religions,591,0.6861,32828.0
20,2010,2010_2015,all_religions,659,0.7788,37417.0
21,2010,2010_2015,all_religions,1196,0.8255,76313.0
22,2010,2010_2015,all_religions,1445,0.8758,100587.0
23,2010,2010_2015,all_religions,204,0.6995,9656.0
24,2010,2010_2015,all_religions,1142,0.6421,78500.0
25,2010,2010_2015,all_religions,524,0.5044,32968.0
26,2010,2010_2015,all_religions,1415,0.6449,85048.0
27,2010,2010_2015,all_religions,758,0.6163,42487.0
28,2010,2010_2015,all_religions,1348,0.9067,109919.0
29,2010,2010_2015,all_religions,1620,0.8396,88736.0
30,2010,2010_2015,all_religions,198,0.7871,11314.0
31,2010,2010_2015,all_religions,314,0.6777,20348.0
32,2010,2010_2015,all_religions,189,0.5526,11356.0
33,2010,2010_2015,all_religions,93,0.3918,6790.0
34,2010,2010_2015,all_religions,1575,0.7177,84931.0
35,2010,2010_2015,all_religions,259,0.627,15136.0
36,2010,2010_2015,all_religions,4578,1.004,277773.0
37,2010,2010_2015,all_religions,2712,0.6384,241567.0
38,2010,2010_2015,all_religions,182,0.7659,10048.0
39,2010,2010_2015,all_religions,2781,0.7875,153540.0
40,2010,2010_2015,all_religions,1165,0.9142,69860.0
41,2010,2010_2015,all_religions,468,0.5482,25764.0
42,2010,2010_2015,all_religions,2474,0.6795,149503.0
44,2010,2010_2015,all_religions,104,0.5728,5923.0
45,2010,2010_2015,all_religions,1909,0.8782,139709.0
46,2010,2010_2015,all_religions,181,0.6632,11783.0
47,2010,2010_2015,all_religions,1784,0.6818,119286.0
48,2010,2010_2015,all_religions,4851,0.6748,334397.0
49,2010,2010_2015,all_religions,201,0.306,41320.0
50,2010,2010_2015,all_religions,67,0.5031,3939.0
51,2010,2010_2015,all_religions,1823,0.6718,127927.0
53,2010,2010_2015,all_religions,728,0.5676,42638.0
54,2010,2010_2015,all_religions,661,0.9331,51000.0
55,2010,2010_2015,all_religions,969,0.7205,46077.0
56,2010,2010_2015,all_religions,102,0.5788,8328.0
