geoid,2000_2006,2007_2024,2010_2015
120860110071,0,3,0
120860110081,,0,
120860110091,,1,
120860110092,,1,0
120860111011,0,6,0
120860111012,0,1,0
120860111013,,0,
120860111014,3,17,0
120860111021,0,2,0
120860111022,0,1,0
120860111023,,1,0
120860111024,2,2,0
120860112011,0,0,
120860112012,0,,
120860112013,,0,
120860112014,0,5,0
120860112021,1,0,0
120860112022,0,1,0
120860112023,0,1,0
120860112024,2,7,0
120860113001,,2,0
120860113002,0,6,2
120860113003,2,6,1
120860113004,1,3,1
120860113005,1,2,0
120860113006,1,7,0
120860114011,,1,0
120860114012,0,2,1
120860114014,,0,
120860114015,,0,
120860114031,0,0,0
120860114032,0,5,1
120860114033,1,5,0
120860114034,2,1,0
120860114035,3,1,0
120860114043,1,,
120860115001,,0,
120860115002,0,1,
120860115005,0,2,0
120860115006,,1,0
120860116001,,5,1
120860116002,0,,
120860116003,0,0,
120860117001,,0,
120860118001,1,4,0
120860118002,,0,0
120860119001,,0,
120860119003,1,,
120860120001,1,1,
120860120002,1,2,0
120860120003,0,0,0
120860121001,,0,
120860121003,,0,
120860121006,0,1,
120860121007,,1,
120860122002,0,0,0
120860123001,0,1,
120860123002,,1,1
120860124002,0,1,0
120860124003,0,2,0
120860125001,1,4,0
120860126002,0,2,0
120860127001,,1,0
120860127002,1,1,0
120860128002,,0,
120860128003,0,3,
120860129001,0,1,0
120860129002,1,15,0
120860130001,,0,
120860130002,2,0,
120860131001,,1,0
120860132001,0,0,0
120860133001,1,0,
120860133002,0,3,1
120860134002,,2,0
120860135001,0,8,0
120860136002,1,1,
120860136003,2,2,0
120860137001,,0,
120860137002,0,6,1
120860138001,,0,
120860139001,,0,0
120860139002,1,,
120860140001,0,3,0
120860142002,,2,1
120860143001,0,1,0
120860144001,0,1,
120860144002,,0,0
120860145001,,4,0
120860145002,2,1,0
120860146001,0,0,
120860146002,,2,0
120860146003,,0,
120860147002,0,0,0
120860147003,0,,
120860149002,,0,
120860149003,,0,1
120860150003,0,1,0
120860150004,,3,
120860151001,,0,
120860152001,1,1,0
120860153001,0,1,0
120860153002,,3,0
120860154001,0,0,
120860154002,0,1,0
120860154003,1,0,
120860155003,0,2,1
120860156001,0,,
120860157001,1,5,0
120860157002,1,13,2
120860158001,,1,0
120860158002,,0,
120860159002,0,,
120860160001,0,0,
120860162002,,1,0
120860163002,,0,
120860164002,0,1,
120860166001,0,,
120860167001,0,2,0
120860168002,0,1,0
120860169001,,0,
120860169002,0,3,0
120860170001,0,,
120860170003,,0,
120860171001,0,2,0
120860173001,,1,0
120860173002,,1,0
120860174003,3,0,0
120860176002,0,0,0
120860177001,,0,0
120860178001,0,0,0
120860179001,0,1,1
120860179002,0,0,
120860179003,,1,0
120860180001,,0,
120860180002,0,,
120860180003,1,0,
120860181001,0,2,1
120860181002,,1,
120860183001,,1,0
120860183002,0,,
120860184003,,0,
120860185001,,0,
120860185002,,1,
120860186001,,1,0
120860186002,1,1,0
120860186004,,0,
120860186005,,1,0
120860186006,0,0,
120860187001,0,,
120860187003,0,2,0
120860188002,0,2,1
120860188003,,1,
120860189001,1,0,
120860189002,1,0,0
120860189003,,0,
120860189004,0,2,0
120860190001,0,2,0
120860190003,0,0,0
120860191001,0,1,0
120860191002,,1,0
120860191004,,0,0
120860192001,1,2,1
120860193001,0,0,0
120860193004,0,0,0
120860194001,0,0,0
120860194002,10,38,3
120860195001,,0,
120860195002,0,0,
120860195004,2,10,1
120860196001,,0,
120860197001,1,2,0
120860197002,0,0,0
120860198003,0,0,0
120860199002,0,0,0
120860199003,,0,0
120860199004,,1,
120860199005,1,1,0
120860200002,0,0,0
120860200003,,0,
120860200004,1,1,0
120860200005,,0,
120860202001,,0,
120860202003,0,5,1
120860203001,0,0,1
120860203002,0,,
120864901001,1,2,0
120869803001,1,6,1
120869805001,0,3,0
120869808001,,1,0
120869810001,0,2,0
120879702002,0,2,0
120879703001,,1,0
120879703002,3,3,0
120879704001,,0,
120879704002,0,0,0
120879704003,,1,
120879704004,,0,
120879705001,,1,0
120879705002,,1,0
120879705003,0,0,0
120879706001,0,2,0
120879707001,,1,0
120879707002,0,0,0
120879707003,,2,0
120879708001,1,0,0
120879709002,1,2,0
120879710011,0,0,0
120879710012,0,1,1
120879710022,,0,
120879710023,,0,0
120879711001,3,5,2
120879711002,0,0,
120879712001,0,1,0
120879712002,0,3,0
120879713001,0,2,1
120879713002,1,1,0
120879713003,0,1,0
120879714011,0,0,0
120879714012,1,3,1
120879714013,0,2,0
120879715012,,0,0
120879715022,0,1,1
120879716001,0,0,0
120879717002,1,4,1
120879717003,0,1,0
120879718003,,0,
120879718004,1,0,0
120879719001,1,0,
120879719002,3,2,0
120879719003,,2,1
120879720001,1,1,0
120879720002,0,1,0
120879720003,0,1,0
120879721001,0,2,0
120879721002,0,0,0
120879722001,0,3,1
120879722002,0,2,0
120879722003,,1,0
120879722004,0,1,0
120879723001,0,0,0
120879723002,0,1,0
120879723003,,1,0
120879724001,0,4,0
120879724002,1,2,0
120879724003,0,6,2
120879725001,0,5,0
120879726001,1,2,0
120890501011,,0,1
120890501012,0,1,0
120890501013,,0,0
120890501014,0,3,0
120890501015,,1,0
120890501021,1,4,1
120890501022,0,,
120890502011,,1,0
120890502021,0,2,1
120890502022,0,6,0
120890502023,0,1,0
120890502024,0,1,0
120890502031,0,10,1
120890502032,0,0,0
120890502033,,1,
120890503011,0,3,1
120890503012,0,3,1
120890503013,1,3,0
120890503021,0,0,0
120890503022,2,5,2
120890503023,1,7,0
120890503031,0,1,0
120890503032,0,3,0
120890503033,0,0,0
120890503034,0,1,0
120890504001,0,3,0
120890504002,0,2,0
120890504003,3,10,3
120890504004,0,2,1
120890505021,,1,
120890505022,0,0,0
120890505023,,0,0
120890505031,1,6,3
120890505032,0,2,0
120890505033,1,11,2
120890505041,,1,0
120890505042,1,1,0
120910201001,0,1,0
120910201002,1,6,0
120910201003,0,1,0
120910201004,1,1,0
120910201005,0,1,0
120910202001,4,8,2
120910203011,0,2,0
120910203012,0,2,1
120910203021,0,1,0
120910203022,1,0,0
120910204001,0,3,2
120910204002,0,1,0
120910204003,1,3,0
120910205001,0,0,0
120910205002,1,1,0
120910205003,0,3,0
120910205004,1,12,2
120910205005,3,9,0
120910206001,1,9,0
120910206002,0,2,0
120910206003,0,2,1
120910207001,0,3,0
120910207002,0,1,0
120910207003,0,0,0
120910207004,0,2,0
120910208002,,0,0
120910208003,,0,
120910209001,0,2,0
120910209002,0,1,0
120910209003,1,0,0
120910210011,,0,
120910210012,0,1,0
120910210013,,0,
120910210021,,2,0
120910210022,,1,1
120910210023,3,2,0
120910211011,1,0,0
120910211012,1,2,0
120910211013,0,0,0
120910211021,0,1,0
120910211022,,0,0
120910211023,0,1,1
120910211024,1,0,0
120910212001,0,4,0
120910212002,0,0,0
120910212003,1,0,0
120910212004,2,1,0
120910212005,0,1,0
120910215012,0,3,0
120910215022,,2,0
120910216001,,0,
120910218011,1,3,0
120910218012,1,0,0
120910218021,0,0,0
120910218022,0,1,1
120910218023,0,1,0
120910219001,0,2,1
120910219002,0,0,0
120910219003,4,7,0
120910220011,0,5,0
120910220012,0,0,0
120910220013,0,1,0
120910220021,1,0,0
120910220022,1,3,1
120910221001,0,2,0
120910221002,1,1,0
120910223001,0,1,1
120910223002,0,0,0
120910224001,1,1,1
120910224002,0,0,
120910224004,,0,
120910225001,0,1,0
120910225002,0,1,0
120910225003,2,7,0
120910226001,1,9,1
120910226002,0,2,1
120910226003,3,3,0
120910227001,,0,0
120910227002,0,0,0
120910227003,0,0,0
120910228001,1,2,0
120910229001,0,2,0
120910229002,0,1,0
120910229003,0,1,0
120910231001,1,0,0
120910231002,0,2,0
120910231003,0,0,0
120910233032,0,2,
120910233041,0,0,0
120910233042,0,2,0
120910233051,0,0,0
120910233052,,2,0
120910233062,1,3,0
120910233071,1,4,1
120910233081,0,0,0
120939101011,0,4,1
120939101012,1,2,0
120939101013,2,4,0
120939101021,0,0,0
120939101022,2,3,1
120939102011,,2,0
120939102012,0,3,1
120939102013,0,1,
120939102021,0,0,0
120939102023,1,0,0
120939103001,0,6,1
120939103002,1,3,0
120939104012,,1,0
120939104021,0,0,
120939104031,3,,
120939104032,0,0,0
120939105001,0,6,1
120939105002,0,1,1
120939105003,0,1,1
120939106011,2,2,0
120939106012,0,0,0
120939106013,1,3,0
120939106014,0,2,1
120939106015,4,2,1
120939106021,0,2,0
120950102001,0,2,1
120950102002,0,0,
120950102003,,0,0
120950102004,2,14,1
120950102005,0,2,0
120950103003,0,0,
120950104001,,0,
120950104002,1,1,0
120950105001,2,13,1
120950105002,1,0,0
120950108021,0,1,0
120950108022,0,1,0
120950108023,1,4,0
120950110001,0,0,
120950110002,0,1,1
120950110003,0,3,0
120950110004,2,3,0
120950111001,1,2,0
120950112001,1,1,0
120950112002,,0,
120950112003,0,1,0
120950113001,1,1,0
120950113002,0,1,1
120950113003,1,0,0
120950113004,0,,
120950116001,5,16,2
120950116002,4,11,2
120950116003,0,1,0
120950117011,0,5,1
120950117012,1,9,1
120950117013,0,8,0
120950117021,0,5,1
120950117022,3,8,0
120950120001,0,2,0
120950120002,3,8,2
120950121001,2,10,1
120950121002,2,12,3
120950122011,2,10,2
120950122021,0,1,
120950122022,1,3,0
120950123031,0,1,0
120950123041,0,2,0
120950123051,1,6,1
120950123061,1,4,0
120950123071,0,3,0
120950123072,2,10,0
120950123073,,1,0
120950124011,1,2,0
120950124021,0,11,0
120950124031,7,18,2
120950125001,1,4,2
120950126001,0,4,0
120950126002,0,2,0
120950126003,0,3,0
120950126004,0,3,0
120950127011,1,2,0
120950127012,2,1,0
120950127013,0,,
120950128001,0,1,0
120950128003,0,1,
120950128005,,1,0
120950129002,1,2,0
120950129004,0,0,0
120950132011,2,4,0
120950132012,1,9,0
120950132021,0,5,1
120950133001,0,6,0
120950133002,0,1,0
120950133003,,1,0
120950134021,0,2,0
120950134061,1,1,0
120950135051,0,4,1
120950135071,0,1,1
120950135081,0,1,
120950135101,0,,
120950135111,1,2,0
120950135112,0,3,0
120950135121,1,6,2
120950136031,0,2,0
120950136041,,1,0
120950136051,0,0,0
120950136061,,1,
120950136062,0,4,0
120950136071,0,4,0
120950137012,1,1,0
120950137021,0,1,0
120950137022,0,0,1
120950137023,,0,
120950138011,0,4,1
120950138012,0,,
120950138021,0,1,0
120950138031,0,5,0
120950139001,0,0,1
120950139002,0,3,1
120950140002,0,0,
120950140003,0,6,0
120950140004,0,4,1
120950141001,,1,0
120950141002,,0,0
120950141003,,0,
120950141004,0,10,1
120950142001,2,13,0
120950142002,2,5,1
120950143012,0,3,0
120950143013,0,3,0
120950143021,1,5,0
120950143022,1,5,0
120950144001,0,2,1
120950144002,0,3,0
120950145021,0,4,0
120950145031,1,2,0
120950145032,,0,
120950145041,0,6,1
120950146011,3,10,0
120950146012,1,8,2
120950146051,7,18,2
120950146061,1,5,0
120950146071,1,0,
120950146081,0,4,1
120950146091,1,1,0
120950147011,1,17,2
120950147012,0,5,0
120950147013,0,4,1
120950147014,1,1,0
120950147021,0,2,0
120950147031,,1,0
120950147041,0,6,0
120950148041,0,8,0
120950148051,0,6,2
120950148061,0,4,0
120950148071,0,2,0
120950148081,0,4,0
120950148091,0,1,0
120950148092,0,1,0
120950148101,0,6,0
120950148111,0,5,1
120950148121,0,2,
120950148122,0,0,0
120950148131,0,3,0
120950149041,0,0,0
120950149042,0,0,0
120950149061,0,3,0
120950149081,4,7,1
120950149091,0,0,0
120950150011,2,9,1
120950150021,0,2,0
120950150031,4,12,0
120950150041,0,6,0
120950151031,1,6,0
120950151032,1,2,0
120950151041,2,7,2
120950151051,0,1,0
120950151052,0,2,0
120950151061,0,5,0
120950151062,1,2,0
120950151063,0,1,0
120950152011,0,1,0
120950152012,0,11,0
120950152021,0,3,0
120950152022,0,0,0
120950152023,4,11,2
120950153001,0,6,0
120950153002,0,3,0
120950153003,0,5,2
120950154021,0,3,1
120950154022,1,4,0
120950154023,3,5,1
120950155011,0,4,1
120950155012,0,5,0
120950155013,0,0,0
120950156011,0,1,0
120950156012,0,2,
120950156021,1,,
120950156022,,1,0
120950157011,,1,
120950157012,0,0,
120950157021,0,0,0
120950158013,0,1,1
120950158021,0,1,
120950158022,0,1,
120950159011,2,17,2
120950159012,0,1,0
120950159013,2,2,1
120950159021,1,1,0
120950159022,0,2,
120950160011,0,0,0
120950160012,2,7,0
120950161001,0,0,0
120950161003,0,2,1
120950162001,1,0,0
120950162002,0,,
120950163011,2,3,0
120950163021,3,10,1
120950164021,,0,
120950164022,2,5,0
120950164061,1,5,0
120950164071,3,12,2
120950164081,0,0,0
120950164091,0,4,1
120950164101,0,1,0
120950164102,0,3,1
120950164111,0,2,0
120950164121,0,8,2
120950165031,0,4,1
120950165041,0,0,0
120950165051,4,5,0
120950165071,,1,
120950165081,1,0,0
120950165092,,0,1
120950165101,,1,0
120950165111,0,4,0
120950166011,1,6,0
120950166012,0,3,0
120950166021,0,1,0
120950166022,0,2,0
120950167041,0,15,0
120950167091,1,4,1
120950167101,0,3,1
120950167121,0,9,0
120950167131,1,2,0
120950167141,0,1,0
120950167151,0,4,0
120950167161,0,4,0
120950167171,,1,0
120950167231,0,2,0
120950167241,0,0,0
120950167271,0,2,0
120950167281,0,2,0
120950167291,1,8,0
120950167301,0,6,0
120950167311,0,1,0
120950167321,3,4,0
120950167331,0,4,0
120950167341,0,0,0
120950168021,0,4,0
120950168022,0,0,
120950168031,0,2,0
120950168041,0,4,1
120950168042,0,1,0
120950168043,1,6,0
120950168061,1,3,1
120950168071,1,3,0
120950169021,1,11,2
120950169023,0,0,1
120950169031,0,4,0
120950169032,0,2,0
120950169041,0,,
120950169061,,2,1
120950169071,0,1,0
120950169072,0,1,0
120950170011,0,11,3
120950170012,0,8,0
120950170041,,0,
120950170042,,0,
120950170043,,0,0
120950170061,0,3,0
120950170081,0,2,1
120950170111,1,17,0
120950170121,0,1,
120950170131,0,4,0
120950170141,,2,1
120950170151,1,2,1
120950170161,0,0,
120950170162,,0,
120950170171,0,4,1
120950171031,0,1,0
120950171032,,0,0
120950171041,0,6,0
120950171042,4,13,0
120950171051,2,3,0
120950171052,0,6,1
120950171071,0,4,0
120950171081,0,6,0
120950171082,0,2,0
120950171091,0,0,0
120950171092,,0,
120950172001,,0,0
120950172002,2,5,0
120950173001,0,7,2
120950173002,0,1,0
120950173003,1,15,2
120950174001,0,1,0
120950174002,1,0,0
120950174003,2,18,6
120950174004,0,5,1
120950175011,0,1,0
120950175012,1,1,0
120950175013,,0,
120950175031,0,1,0
120950175032,1,10,1
120950175041,2,7,0
120950175042,0,4,0
120950175043,1,9,0
120950176001,0,8,0
120950176002,2,11,1
120950176003,0,7,1
120950177011,0,1,0
120950177021,2,3,0
120950177031,2,2,0
120950177032,0,0,0
120950177033,1,6,2
120950178021,1,2,0
120950178022,0,5,0
120950178041,0,2,0
120950178042,0,3,0
120950178051,1,0,
120950178061,0,4,0
120950178071,0,2,0
120950178081,0,1,0
120950179011,0,0,
120950179012,0,2,0
120950179021,0,5,0
120950179023,0,2,1
120950179024,0,1,0
120950180001,0,11,2
120950180002,0,1,1
120950181001,3,7,1
120950181002,0,4,0
120950182001,2,0,
120950182002,0,1,0
120950182003,0,4,1
120950183001,1,1,0
120950183002,0,5,1
120950183003,4,10,1
120950183004,2,14,0
120950184001,0,2,0
120950184002,0,5,1
120950184003,0,1,0
120950185001,0,3,1
120950185002,1,7,1
120950185003,0,2,0
120950187001,1,4,0
120950187002,2,13,1
120950187003,2,3,0
120950188001,0,0,0
120950188002,0,1,0
120950188003,5,10,1
120950188004,0,0,0
120950189001,0,3,1
120950189002,2,10,3
120950189003,1,5,2
120950189004,1,2,1
120950189005,2,19,3
120950189006,0,2,0
120970408011,,1,0
120970408021,,2,0
120970408031,0,3,0
120970408041,0,2,0
120970408042,0,0,
120970409011,2,1,1
120970409021,0,4,1
120970409022,0,1,0
120970410011,0,1,0
120970410012,1,5,0
120970410015,0,0,0
120970410021,1,4,1
120970411001,0,3,0
120970411002,0,5,0
120970413001,0,1,
120970413002,1,6,2
120970415001,1,4,0
120970416001,2,7,1
120970416002,0,7,1
120970416003,2,2,1
120970416004,2,9,0
120970416005,0,,
120970417001,0,2,1
120970417002,1,5,0
120970417003,0,2,0
120970418001,0,2,0
120970418002,0,1,0
120970418003,0,1,0
120970419001,4,10,0
120970420001,0,6,1
120970421001,0,0,0
120970422001,3,10,2
120970422002,0,2,0
120970422003,0,3,0
120970423001,1,9,1
120970423002,1,7,1
120970423003,1,11,0
120970424001,0,3,0
120970425001,1,3,1
120970426011,,1,0
120970426021,0,8,0
120970427011,0,1,0
120970427021,0,0,0
120970428001,2,2,0
120970428002,0,15,1
120970429001,0,8,0
120970429002,1,16,1
120970431001,0,6,0
120970432031,0,5,1
120970432041,,0,0
120970432042,1,6,1
120970432051,,0,
120970433011,,0,0
120970433021,1,1,1
120970434001,0,2,0
120970434002,2,4,1
120970434003,0,,
120970434004,0,0,0
120970435002,1,3,1
120970435004,1,6,2
120970436001,0,2,0
120970437001,,0,
120970437002,0,1,0
120970438001,0,2,
120970438002,0,1,0
120970438003,,1,0
120970438004,0,1,0
120990001011,0,2,0
120990001012,0,4,1
120990001013,0,3,1
120990001023,,1,0
120990002021,0,3,0
120990002022,0,3,0
120990002023,0,,
120990002041,0,1,0
120990002042,0,7,1
120990002051,1,1,1
120990002052,,1,0
120990002061,,0,
120990002062,0,1,0
120990002063,,1,
120990002065,0,0,0
120990002081,0,2,1
120990002082,1,0,
120990002091,0,1,1
120990002092,,0,0
120990002093,,0,
120990002101,0,1,0
120990002103,0,1,0
120990002131,,0,0
120990002132,0,0,0
120990002141,,0,
120990002151,0,3,0
120990002152,0,0,0
120990002153,,0,0
120990002154,,2,0
120990003011,0,0,0
120990003013,1,2,0
120990003033,0,4,0
120990003041,,0,0
120990003042,0,1,0
120990003043,0,0,0
120990004052,,1,
120990004061,,0,
120990004062,,0,
120990004063,0,,
120990004071,1,1,0
120990004072,1,2,0
120990004082,,0,0
120990004083,,0,
120990004101,,1,0
120990004102,0,1,0
120990004103,,0,
120990004104,0,1,0
120990005052,0,2,0
120990005071,0,0,0
120990005091,,1,0
120990005092,,1,
120990005113,,0,
120990007021,0,0,0
120990007022,0,1,0
120990007031,1,0,0
120990007032,0,1,
120990008021,0,0,
120990008022,0,2,1
120990008031,0,0,0
120990008032,,6,1
120990008042,1,2,0
120990009021,0,2,0
120990009022,,0,
120990009023,,0,0
120990009031,,3,
120990009032,1,1,0
120990009033,0,0,0
120990009041,0,2,1
120990009042,0,3,0
120990009051,,1,
120990009052,0,9,1
120990010021,1,2,0
120990010022,0,1,0
120990010031,0,2,0
120990010032,,0,0
120990010041,,0,
120990010042,0,0,1
120990010043,1,0,0
120990010045,0,0,0
120990011011,0,2,0
120990011012,1,2,0
120990011013,,3,0
120990011014,1,1,0
120990011015,0,2,0
120990011016,,0,
120990011021,0,2,0
120990011022,1,,
120990011023,0,,
120990012001,1,6,0
120990012002,,2,0
120990012003,2,7,0
120990012004,0,4,2
120990013011,0,2,1
120990013012,,0,0
120990013013,0,1,0
120990013021,1,6,0
120990013022,1,6,0
120990013023,0,0,0
120990014021,0,6,2
120990014031,0,0,0
120990014032,1,5,2
120990014041,2,6,0
120990014043,0,9,2
120990015001,2,1,0
120990015002,2,0,
120990015003,1,7,0
120990015004,1,4,0
120990016002,1,1,0
120990016003,2,1,0
120990017001,0,1,0
120990017002,4,1,0
120990017003,1,5,0
120990017004,1,0,0
120990018011,5,18,1
120990018012,0,2,0
120990018013,1,,
120990018021,,0,
120990018022,,2,0
120990018023,,1,0
120990019041,0,2,0
120990019071,3,9,0
120990019072,,0,0
120990019081,0,0,
120990019082,0,3,0
120990019083,0,2,0
120990019091,3,11,0
120990019101,,1,0
120990019111,,1,0
120990019141,,0,
120990019151,0,2,1
120990019152,,1,0
120990019161,0,4,0
120990019162,1,3,1
120990019171,1,8,0
120990019172,1,0,0
120990020051,2,7,1
120990020052,,0,
120990020061,,2,0
120990020063,0,2,0
120990021001,0,5,1
120990021002,4,14,1
120990022001,3,12,1
120990023001,0,1,0
120990023002,0,2,0
120990023003,3,8,1
120990024001,1,1,0
120990024002,1,6,0
120990026001,,0,0
120990027001,2,1,0
120990027002,0,2,0
120990027003,0,5,0
120990027004,1,0,0
120990028001,0,3,0
120990028002,1,2,0
120990028003,,1,0
120990028004,0,2,0
120990029001,1,4,0
120990029002,0,5,2
120990030001,0,5,0
120990030002,,0,
120990030003,2,6,1
120990031011,,1,0
120990031012,0,1,1
120990031013,1,0,0
120990031014,,1,0
120990031021,0,1,0
120990031022,1,2,0
120990031023,1,2,0
120990031024,,0,
120990032011,1,8,0
120990032012,0,1,0
120990032021,,1,
120990032022,0,2,0
120990032023,,0,0
120990033001,0,1,0
120990033002,0,3,0
120990034001,0,1,0
120990034002,0,1,
120990034003,0,2,0
120990035041,1,1,
120990035071,,0,
120990035073,,0,
120990035091,0,1,0
120990035092,,0,
120990035093,1,2,0
120990035094,0,3,1
120990036001,,1,0
120990036004,0,2,1
120990037001,0,3,1
120990037002,1,0,
120990037003,,1,0
120990037004,0,1,1
120990038001,0,0,0
120990038002,,2,0
120990038003,,3,0
120990038004,0,1,1
120990038005,0,1,0
120990039011,0,1,1
120990039012,0,1,0
120990039013,0,1,0
120990039014,0,1,
120990039021,0,1,0
120990039022,0,4,1
120990039023,,0,0
120990040051,1,6,0
120990040071,0,2,1
120990040072,,0,
120990040081,0,1,0
120990040082,0,2,
120990040083,,0,
120990040091,2,2,0
120990040092,0,2,1
120990040093,0,3,0
120990040101,0,2,0
120990040102,1,0,0
120990040113,0,,
120990040123,,0,
120990040131,,1,
120990040132,,0,
120990041011,0,2,0
120990041012,0,2,0
120990041013,,1,0
120990041021,0,0,0
120990041022,0,0,0
120990041023,0,0,0
120990042011,2,1,0
120990042012,0,1,
120990042013,0,0,0
120990042014,,2,0
120990042021,0,1,1
120990042022,0,,
120990042023,0,0,
120990042031,0,4,2
120990042032,1,0,0
120990043001,0,2,0
120990043002,0,2,0
120990043003,1,0,
120990043004,0,1,0
120990044011,1,0,0
120990044012,1,2,0
120990044013,0,,
120990044021,0,4,0
120990044022,0,1,0
120990045001,,0,
120990045002,,0,0
120990045003,0,4,1
120990045004,1,,
120990046011,0,0,0
120990046012,1,1,0
120990046013,0,2,1
120990046021,2,3,0
120990046022,1,2,0
120990046023,,1,1
120990047021,,0,0
120990047022,0,0,0
120990047024,0,1,0
120990047025,,0,
120990047041,0,6,0
120990047042,0,5,0
120990047043,0,4,1
120990047044,3,2,0
120990047051,,0,0
120990047061,0,12,0
120990047062,1,4,0
120990048102,2,2,0
120990048103,0,1,0
120990048112,0,,
120990048113,0,1,0
120990048121,,0,
120990048122,0,1,0
120990048131,0,4,0
120990048132,0,1,0
120990048151,,0,
120990048152,,1,0
120990048153,0,,
120990048154,0,0,0
120990048161,,0,
120990048163,0,1,0
120990048171,0,,
120990048181,0,2,0
120990048183,0,0,0
120990048191,,1,0
120990048192,0,1,0
120990049021,,1,0
120990049031,0,1,0
120990049032,0,3,0
120990049041,,0,
120990049042,1,7,1
120990049043,0,1,
120990050001,,2,0
120990050002,1,2,0
120990051011,0,1,1
120990051012,0,1,0
120990051021,1,1,0
120990051022,2,4,1
120990052021,1,3,0
120990052022,0,4,0
120990052031,0,6,0
120990052032,0,2,0
120990052041,0,1,0
120990052042,0,2,0
120990052043,1,1,0
120990053001,0,1,0
120990053003,0,1,0
120990053005,0,0,0
120990054091,,0,0
120990054111,0,,
120990054112,,0,
120990054113,,0,
120990055011,,0,
120990055012,1,0,0
120990055013,0,1,
120990055021,0,0,0
120990055022,0,2,0
120990055023,,1,0
120990056011,0,2,0
120990056012,1,2,0
120990056021,,0,
120990057012,0,0,0
120990057021,0,0,0
120990057022,,0,
120990057023,1,3,0
120990057024,3,2,0
120990058072,0,1,0
120990058073,,1,0
120990058074,0,3,0
120990058081,,2,0
120990058082,0,3,2
120990058121,1,1,
120990058131,0,0,
120990058132,,0,
120990058141,,0,
120990058142,,1,0
120990058151,0,1,0
120990058161,,0,
120990058164,0,1,0
120990058171,0,0,0
120990058172,,0,0
120990059031,0,2,0
120990059032,,2,0
120990059033,,0,
120990059152,0,3,0
120990059153,0,0,0
120990059161,,1,0
120990059162,1,0,0
120990059163,0,1,0
120990059171,0,0,0
120990059172,,0,
120990059181,0,0,0
120990059182,0,0,0
120990059211,0,,
120990059212,0,0,
120990059213,0,0,0
120990059214,,1,0
120990059221,,0,
120990059222,0,,
120990059223,0,0,
120990059231,,0,0
120990059264,0,,
120990059302,,1,0
120990059303,0,0,0
120990059304,,1,
120990059311,0,2,0
120990059341,0,1,0
120990059343,,0,
120990059361,,0,
120990059362,0,,
120990059371,0,0,0
120990059382,,0,
120990059383,,0,
120990059391,,0,0
120990059421,,0,
120990059422,,0,
120990059441,,0,
120990059451,,0,
120990059452,0,1,0
120990059453,,0,
120990059461,0,0,
120990059462,,0,
120990059491,0,1,0
120990059501,0,2,0
120990059511,1,1,0
120990059521,0,1,0
120990059541,,0,
120990059561,,1,
120990060051,1,,
120990060052,,0,0
120990060071,0,2,0
120990060072,,0,
120990060082,1,0,
120990060092,,1,0
120990060101,,0,0
120990060112,0,0,
120990060121,2,1,0
120990060122,0,5,0
120990061001,1,8,0
120990061002,1,7,1
120990061003,1,10,3
120990062011,1,3,1
120990062012,4,1,0
120990062013,,0,
120990062021,0,1,0
120990062031,0,0,0
120990062032,,2,0
120990063001,0,3,0
120990063002,0,3,1
120990063003,0,1,0
120990064011,0,1,0
120990064012,0,2,0
120990064021,1,5,2
120990065011,,0,
120990065012,2,6,1
120990065021,0,0,
120990065022,0,4,1
120990065023,0,0,
120990066022,0,1,0
120990066023,0,2,1
120990066031,,0,
120990066032,0,,
120990066033,0,0,0
120990066034,,1,0
120990066042,0,1,0
120990066051,,1,
120990066052,0,2,0
120990067001,1,4,0
120990067002,4,2,0
120990068011,,0,0
120990068012,0,4,0
120990068013,0,0,0
120990068021,2,5,0
120990068022,3,5,0
120990069062,0,1,
120990069063,1,2,0
120990069064,,1,
120990069071,,1,0
120990069072,0,2,0
120990069073,,1,
120990069081,1,5,0
120990069082,,1,
120990069091,1,0,0
120990069101,0,1,0
120990069111,,1,0
120990069112,0,0,
120990070021,0,2,0
120990070052,,0,
120990070061,0,1,0
120990070062,,0,
120990070071,,1,1
120990070081,0,1,1
120990070083,0,6,2
120990070091,0,1,0
120990070092,,1,1
120990070093,0,0,0
120990070101,,1,0
120990070111,,1,0
120990070113,,1,
120990071001,,0,
120990072011,1,,
120990072013,,0,0
120990072014,0,2,0
120990072021,1,1,0
120990072022,3,3,0
120990072023,2,4,0
120990072031,1,4,0
120990072032,2,8,1
120990072033,1,1,0
120990072034,0,5,0
120990072035,0,4,0
120990073011,0,1,0
120990073012,0,2,0
120990073021,,1,0
120990073022,,2,0
120990073023,3,0,0
120990073024,1,0,0
120990074072,,0,0
120990074101,,0,
120990074102,1,3,1
120990074122,,0,
120990074142,0,0,0
120990074161,,1,0
120990074163,1,0,
120990074201,,0,
120990075011,1,2,0
120990075012,0,4,0
120990075043,,0,
120990075051,0,5,0
120990075052,1,1,0
120990076021,,0,0
120990076022,0,1,0
120990076031,,1,0
120990076032,0,0,0
120990076041,1,0,0
120990076042,1,1,0
120990076043,0,3,0
120990076044,0,4,0
120990076052,,0,0
120990076071,0,1,
120990076072,,1,0
120990076073,,1,
120990076074,,0,
120990076101,,2,1
120990076103,0,3,1
120990076121,1,,
120990076122,0,0,0
120990076124,0,,
120990076131,,1,0
120990076132,,0,
120990076142,,1,1
120990076143,0,1,0
120990076153,,3,0
120990076161,,1,
